x,rho,T
  0.00000000E+00,  0.20000000E+00,  0.20000000E+01
  0.25000000E-02,  0.19995472E+00,  0.19981707E+01
  0.50000000E-02,  0.19990963E+00,  0.19963367E+01
  0.75000000E-02,  0.19986454E+00,  0.19945026E+01
  0.10000000E-01,  0.19981964E+00,  0.19926639E+01
  0.12500000E-01,  0.19977474E+00,  0.19908250E+01
  0.15000000E-01,  0.19973003E+00,  0.19889814E+01
  0.17500000E-01,  0.19968533E+00,  0.19871378E+01
  0.20000000E-01,  0.19964082E+00,  0.19852894E+01
  0.22500000E-01,  0.19959632E+00,  0.19834410E+01
  0.25000000E-01,  0.19955200E+00,  0.19815878E+01
  0.27500000E-01,  0.19950770E+00,  0.19797345E+01
  0.30000000E-01,  0.19946358E+00,  0.19778764E+01
  0.32500000E-01,  0.19941948E+00,  0.19760182E+01
  0.35000000E-01,  0.19937557E+00,  0.19741553E+01
  0.37500000E-01,  0.19933166E+00,  0.19722923E+01
  0.40000000E-01,  0.19928795E+00,  0.19704244E+01
  0.42500000E-01,  0.19924425E+00,  0.19685565E+01
  0.45000000E-01,  0.19920075E+00,  0.19666837E+01
  0.47500000E-01,  0.19915725E+00,  0.19648109E+01
  0.50000000E-01,  0.19911395E+00,  0.19629332E+01
  0.52500000E-01,  0.19907066E+00,  0.19610554E+01
  0.55000000E-01,  0.19902757E+00,  0.19591728E+01
  0.57500000E-01,  0.19898449E+00,  0.19572900E+01
  0.60000000E-01,  0.19894161E+00,  0.19554024E+01
  0.62500000E-01,  0.19889875E+00,  0.19535146E+01
  0.65000000E-01,  0.19885608E+00,  0.19516220E+01
  0.67500000E-01,  0.19881342E+00,  0.19497292E+01
  0.70000000E-01,  0.19877097E+00,  0.19478316E+01
  0.72500000E-01,  0.19872853E+00,  0.19459338E+01
  0.75000000E-01,  0.19868629E+00,  0.19440311E+01
  0.77500000E-01,  0.19864406E+00,  0.19421283E+01
  0.80000000E-01,  0.19860204E+00,  0.19402206E+01
  0.82500000E-01,  0.19856004E+00,  0.19383126E+01
  0.85000000E-01,  0.19851823E+00,  0.19363998E+01
  0.87500000E-01,  0.19847645E+00,  0.19344868E+01
  0.90000000E-01,  0.19843487E+00,  0.19325689E+01
  0.92500000E-01,  0.19839331E+00,  0.19306507E+01
  0.95000000E-01,  0.19835195E+00,  0.19287277E+01
  0.97500000E-01,  0.19831061E+00,  0.19268044E+01
  0.10000000E+00,  0.19826948E+00,  0.19248762E+01
  0.10250000E+00,  0.19822837E+00,  0.19229477E+01
  0.10500000E+00,  0.19818746E+00,  0.19210144E+01
  0.10750000E+00,  0.19814658E+00,  0.19190807E+01
  0.11000000E+00,  0.19810591E+00,  0.19171422E+01
  0.11250000E+00,  0.19806526E+00,  0.19152033E+01
  0.11500000E+00,  0.19802481E+00,  0.19132595E+01
  0.11750000E+00,  0.19798439E+00,  0.19113155E+01
  0.12000000E+00,  0.19794418E+00,  0.19093664E+01
  0.12250000E+00,  0.19790400E+00,  0.19074171E+01
  0.12500000E+00,  0.19786403E+00,  0.19054628E+01
  0.12750000E+00,  0.19782408E+00,  0.19035082E+01
  0.13000000E+00,  0.19778435E+00,  0.19015486E+01
  0.13250000E+00,  0.19774464E+00,  0.18995887E+01
  0.13500000E+00,  0.19770515E+00,  0.18976238E+01
  0.13750000E+00,  0.19766568E+00,  0.18956586E+01
  0.14000000E+00,  0.19762643E+00,  0.18936884E+01
  0.14250000E+00,  0.19758721E+00,  0.18917178E+01
  0.14500000E+00,  0.19754820E+00,  0.18897422E+01
  0.14750000E+00,  0.19750923E+00,  0.18877663E+01
  0.15000000E+00,  0.19747047E+00,  0.18857853E+01
  0.15250000E+00,  0.19743174E+00,  0.18838039E+01
  0.15500000E+00,  0.19739323E+00,  0.18818176E+01
  0.15750000E+00,  0.19735476E+00,  0.18798308E+01
  0.16000000E+00,  0.19731650E+00,  0.18778390E+01
  0.16250000E+00,  0.19727828E+00,  0.18758468E+01
  0.16500000E+00,  0.19724027E+00,  0.18738496E+01
  0.16750000E+00,  0.19720231E+00,  0.18718519E+01
  0.17000000E+00,  0.19716456E+00,  0.18698492E+01
  0.17250000E+00,  0.19712685E+00,  0.18678460E+01
  0.17500000E+00,  0.19708936E+00,  0.18658377E+01
  0.17750000E+00,  0.19705192E+00,  0.18638290E+01
  0.18000000E+00,  0.19701469E+00,  0.18618153E+01
  0.18250000E+00,  0.19697751E+00,  0.18598010E+01
  0.18500000E+00,  0.19694054E+00,  0.18577817E+01
  0.18750000E+00,  0.19690363E+00,  0.18557619E+01
  0.19000000E+00,  0.19686693E+00,  0.18537370E+01
  0.19250000E+00,  0.19683028E+00,  0.18517116E+01
  0.19500000E+00,  0.19679385E+00,  0.18496811E+01
  0.19750000E+00,  0.19675748E+00,  0.18476501E+01
  0.20000000E+00,  0.19672132E+00,  0.18456140E+01
  0.20250000E+00,  0.19668521E+00,  0.18435773E+01
  0.20500000E+00,  0.19664933E+00,  0.18415356E+01
  0.20750000E+00,  0.19661350E+00,  0.18394932E+01
  0.21000000E+00,  0.19657790E+00,  0.18374458E+01
  0.21250000E+00,  0.19654235E+00,  0.18353977E+01
  0.21500000E+00,  0.19650703E+00,  0.18333446E+01
  0.21750000E+00,  0.19647176E+00,  0.18312908E+01
  0.22000000E+00,  0.19643672E+00,  0.18292319E+01
  0.22250000E+00,  0.19640173E+00,  0.18271724E+01
  0.22500000E+00,  0.19636698E+00,  0.18251078E+01
  0.22750000E+00,  0.19633228E+00,  0.18230425E+01
  0.23000000E+00,  0.19629781E+00,  0.18209721E+01
  0.23250000E+00,  0.19626341E+00,  0.18189010E+01
  0.23500000E+00,  0.19622923E+00,  0.18168247E+01
  0.23750000E+00,  0.19619512E+00,  0.18147478E+01
  0.24000000E+00,  0.19616123E+00,  0.18126657E+01
  0.24250000E+00,  0.19612742E+00,  0.18105829E+01
  0.24500000E+00,  0.19609383E+00,  0.18084950E+01
  0.24750000E+00,  0.19606031E+00,  0.18064063E+01
  0.25000000E+00,  0.19602703E+00,  0.18043125E+01
  0.25250000E+00,  0.19599381E+00,  0.18022179E+01
  0.25500000E+00,  0.19596083E+00,  0.18001182E+01
  0.25750000E+00,  0.19592792E+00,  0.17980177E+01
  0.26000000E+00,  0.19589524E+00,  0.17959120E+01
  0.26250000E+00,  0.19586264E+00,  0.17938055E+01
  0.26500000E+00,  0.19583027E+00,  0.17916938E+01
  0.26750000E+00,  0.19579798E+00,  0.17895814E+01
  0.27000000E+00,  0.19576592E+00,  0.17874637E+01
  0.27250000E+00,  0.19573394E+00,  0.17853452E+01
  0.27500000E+00,  0.19570220E+00,  0.17832215E+01
  0.27750000E+00,  0.19567054E+00,  0.17810969E+01
  0.28000000E+00,  0.19563912E+00,  0.17789672E+01
  0.28250000E+00,  0.19560778E+00,  0.17768365E+01
  0.28500000E+00,  0.19557668E+00,  0.17747007E+01
  0.28750000E+00,  0.19554567E+00,  0.17725640E+01
  0.29000000E+00,  0.19551489E+00,  0.17704220E+01
  0.29250000E+00,  0.19548421E+00,  0.17682791E+01
  0.29500000E+00,  0.19545376E+00,  0.17661310E+01
  0.29750000E+00,  0.19542340E+00,  0.17639820E+01
  0.30000000E+00,  0.19539329E+00,  0.17618277E+01
  0.30250000E+00,  0.19536327E+00,  0.17596724E+01
  0.30500000E+00,  0.19533349E+00,  0.17575119E+01
  0.30750000E+00,  0.19530381E+00,  0.17553505E+01
  0.31000000E+00,  0.19527437E+00,  0.17531837E+01
  0.31250000E+00,  0.19524503E+00,  0.17510160E+01
  0.31500000E+00,  0.19521593E+00,  0.17488430E+01
  0.31750000E+00,  0.19518693E+00,  0.17466690E+01
  0.32000000E+00,  0.19515819E+00,  0.17444897E+01
  0.32250000E+00,  0.19512954E+00,  0.17423094E+01
  0.32500000E+00,  0.19510114E+00,  0.17401238E+01
  0.32750000E+00,  0.19507284E+00,  0.17379371E+01
  0.33000000E+00,  0.19504480E+00,  0.17357451E+01
  0.33250000E+00,  0.19501686E+00,  0.17335521E+01
  0.33500000E+00,  0.19498917E+00,  0.17313537E+01
  0.33750000E+00,  0.19496159E+00,  0.17291543E+01
  0.34000000E+00,  0.19493427E+00,  0.17269495E+01
  0.34250000E+00,  0.19490705E+00,  0.17247436E+01
  0.34500000E+00,  0.19488009E+00,  0.17225324E+01
  0.34750000E+00,  0.19485324E+00,  0.17203201E+01
  0.35000000E+00,  0.19482665E+00,  0.17181023E+01
  0.35250000E+00,  0.19480017E+00,  0.17158835E+01
  0.35500000E+00,  0.19477396E+00,  0.17136593E+01
  0.35750000E+00,  0.19474785E+00,  0.17114339E+01
  0.36000000E+00,  0.19472202E+00,  0.17092031E+01
  0.36250000E+00,  0.19469629E+00,  0.17069711E+01
  0.36500000E+00,  0.19467084E+00,  0.17047338E+01
  0.36750000E+00,  0.19464550E+00,  0.17024952E+01
  0.37000000E+00,  0.19462043E+00,  0.17002513E+01
  0.37250000E+00,  0.19459548E+00,  0.16980061E+01
  0.37500000E+00,  0.19457080E+00,  0.16957555E+01
  0.37750000E+00,  0.19454624E+00,  0.16935037E+01
  0.38000000E+00,  0.19452196E+00,  0.16912464E+01
  0.38250000E+00,  0.19449780E+00,  0.16889879E+01
  0.38500000E+00,  0.19447391E+00,  0.16867239E+01
  0.38750000E+00,  0.19445015E+00,  0.16844586E+01
  0.39000000E+00,  0.19442667E+00,  0.16821879E+01
  0.39250000E+00,  0.19440332E+00,  0.16799158E+01
  0.39500000E+00,  0.19438024E+00,  0.16776383E+01
  0.39750000E+00,  0.19435730E+00,  0.16753595E+01
  0.40000000E+00,  0.19433464E+00,  0.16730752E+01
  0.40250000E+00,  0.19431211E+00,  0.16707896E+01
  0.40500000E+00,  0.19428986E+00,  0.16684984E+01
  0.40750000E+00,  0.19426776E+00,  0.16662059E+01
  0.41000000E+00,  0.19424593E+00,  0.16639078E+01
  0.41250000E+00,  0.19422425E+00,  0.16616084E+01
  0.41500000E+00,  0.19420286E+00,  0.16593035E+01
  0.41750000E+00,  0.19418160E+00,  0.16569971E+01
  0.42000000E+00,  0.19416064E+00,  0.16546852E+01
  0.42250000E+00,  0.19413982E+00,  0.16523719E+01
  0.42500000E+00,  0.19411929E+00,  0.16500530E+01
  0.42750000E+00,  0.19409891E+00,  0.16477327E+01
  0.43000000E+00,  0.19407883E+00,  0.16454068E+01
  0.43250000E+00,  0.19405889E+00,  0.16430794E+01
  0.43500000E+00,  0.19403925E+00,  0.16407465E+01
  0.43750000E+00,  0.19401977E+00,  0.16384120E+01
  0.44000000E+00,  0.19400058E+00,  0.16360720E+01
  0.44250000E+00,  0.19398155E+00,  0.16337304E+01
  0.44500000E+00,  0.19396282E+00,  0.16313832E+01
  0.44750000E+00,  0.19394425E+00,  0.16290345E+01
  0.45000000E+00,  0.19392599E+00,  0.16266802E+01
  0.45250000E+00,  0.19390788E+00,  0.16243243E+01
  0.45500000E+00,  0.19389008E+00,  0.16219627E+01
  0.45750000E+00,  0.19387245E+00,  0.16195996E+01
  0.46000000E+00,  0.19385513E+00,  0.16172309E+01
  0.46250000E+00,  0.19383797E+00,  0.16148605E+01
  0.46500000E+00,  0.19382113E+00,  0.16124844E+01
  0.46750000E+00,  0.19380445E+00,  0.16101067E+01
  0.47000000E+00,  0.19378809E+00,  0.16077234E+01
  0.47250000E+00,  0.19377191E+00,  0.16053383E+01
  0.47500000E+00,  0.19375604E+00,  0.16029476E+01
  0.47750000E+00,  0.19374035E+00,  0.16005552E+01
  0.48000000E+00,  0.19372498E+00,  0.15981571E+01
  0.48250000E+00,  0.19370979E+00,  0.15957573E+01
  0.48500000E+00,  0.19369492E+00,  0.15933518E+01
  0.48750000E+00,  0.19368024E+00,  0.15909445E+01
  0.49000000E+00,  0.19366588E+00,  0.15885315E+01
  0.49250000E+00,  0.19365171E+00,  0.15861167E+01
  0.49500000E+00,  0.19363786E+00,  0.15836962E+01
  0.49750000E+00,  0.19362421E+00,  0.15812739E+01
  0.50000000E+00,  0.19361089E+00,  0.15788459E+01
  0.50250000E+00,  0.19359777E+00,  0.15764160E+01
  0.50500000E+00,  0.19358497E+00,  0.15739804E+01
  0.50750000E+00,  0.19357238E+00,  0.15715429E+01
  0.51000000E+00,  0.19356012E+00,  0.15690996E+01
  0.51250000E+00,  0.19354806E+00,  0.15666545E+01
  0.51500000E+00,  0.19353634E+00,  0.15642035E+01
  0.51750000E+00,  0.19352483E+00,  0.15617507E+01
  0.52000000E+00,  0.19351366E+00,  0.15592920E+01
  0.52250000E+00,  0.19350270E+00,  0.15568315E+01
  0.52500000E+00,  0.19349209E+00,  0.15543650E+01
  0.52750000E+00,  0.19348169E+00,  0.15518967E+01
  0.53000000E+00,  0.19347164E+00,  0.15494225E+01
  0.53250000E+00,  0.19346180E+00,  0.15469463E+01
  0.53500000E+00,  0.19345232E+00,  0.15444643E+01
  0.53750000E+00,  0.19344306E+00,  0.15419803E+01
  0.54000000E+00,  0.19343415E+00,  0.15394903E+01
  0.54250000E+00,  0.19342547E+00,  0.15369984E+01
  0.54500000E+00,  0.19341715E+00,  0.15345006E+01
  0.54750000E+00,  0.19340906E+00,  0.15320007E+01
  0.55000000E+00,  0.19340133E+00,  0.15294949E+01
  0.55250000E+00,  0.19339383E+00,  0.15269870E+01
  0.55500000E+00,  0.19338670E+00,  0.15244732E+01
  0.55750000E+00,  0.19337981E+00,  0.15219573E+01
  0.56000000E+00,  0.19337328E+00,  0.15194354E+01
  0.56250000E+00,  0.19336700E+00,  0.15169114E+01
  0.56500000E+00,  0.19336109E+00,  0.15143815E+01
  0.56750000E+00,  0.19335543E+00,  0.15118493E+01
  0.57000000E+00,  0.19335014E+00,  0.15093112E+01
  0.57250000E+00,  0.19334511E+00,  0.15067709E+01
  0.57500000E+00,  0.19334045E+00,  0.15042246E+01
  0.57750000E+00,  0.19333605E+00,  0.15016761E+01
  0.58000000E+00,  0.19333203E+00,  0.14991216E+01
  0.58250000E+00,  0.19332828E+00,  0.14965649E+01
  0.58500000E+00,  0.19332491E+00,  0.14940020E+01
  0.58750000E+00,  0.19332181E+00,  0.14914370E+01
  0.59000000E+00,  0.19331910E+00,  0.14888658E+01
  0.59250000E+00,  0.19331666E+00,  0.14862924E+01
  0.59500000E+00,  0.19331461E+00,  0.14837129E+01
  0.59750000E+00,  0.19331284E+00,  0.14811311E+01
  0.60000000E+00,  0.19331147E+00,  0.14785431E+01
  0.60250000E+00,  0.19331038E+00,  0.14759529E+01
  0.60500000E+00,  0.19330969E+00,  0.14733564E+01
  0.60750000E+00,  0.19330929E+00,  0.14707577E+01
  0.61000000E+00,  0.19330930E+00,  0.14681527E+01
  0.61250000E+00,  0.19330960E+00,  0.14655454E+01
  0.61500000E+00,  0.19331030E+00,  0.14629319E+01
  0.61750000E+00,  0.19331131E+00,  0.14603160E+01
  0.62000000E+00,  0.19331273E+00,  0.14576939E+01
  0.62250000E+00,  0.19331445E+00,  0.14550694E+01
  0.62500000E+00,  0.19331659E+00,  0.14524386E+01
  0.62750000E+00,  0.19331905E+00,  0.14498053E+01
  0.63000000E+00,  0.19332192E+00,  0.14471659E+01
  0.63250000E+00,  0.19332511E+00,  0.14445239E+01
  0.63500000E+00,  0.19332873E+00,  0.14418756E+01
  0.63750000E+00,  0.19333267E+00,  0.14392248E+01
  0.64000000E+00,  0.19333703E+00,  0.14365678E+01
  0.64250000E+00,  0.19334173E+00,  0.14339081E+01
  0.64500000E+00,  0.19334687E+00,  0.14312422E+01
  0.64750000E+00,  0.19335233E+00,  0.14285736E+01
  0.65000000E+00,  0.19335824E+00,  0.14258988E+01
