# x, rho, T
# CSV format for plotting
# x,rho,T
  0.00000000E+00,  0.50000000E+00,  0.10000000E+02
  0.25000000E-02,  0.49959266E+00,  0.99897743E+01
  0.50000000E-02,  0.49918565E+00,  0.99794988E+01
  0.75000000E-02,  0.49877865E+00,  0.99692229E+01
  0.10000000E-01,  0.49837199E+00,  0.99588971E+01
  0.12500000E-01,  0.49796533E+00,  0.99485707E+01
  0.15000000E-01,  0.49755901E+00,  0.99381942E+01
  0.17500000E-01,  0.49715271E+00,  0.99278168E+01
  0.20000000E-01,  0.49674675E+00,  0.99173892E+01
  0.22500000E-01,  0.49634080E+00,  0.99069605E+01
  0.25000000E-01,  0.49593519E+00,  0.98964814E+01
  0.27500000E-01,  0.49552960E+00,  0.98860008E+01
  0.30000000E-01,  0.49512436E+00,  0.98754698E+01
  0.32500000E-01,  0.49471914E+00,  0.98649371E+01
  0.35000000E-01,  0.49431426E+00,  0.98543538E+01
  0.37500000E-01,  0.49390941E+00,  0.98437685E+01
  0.40000000E-01,  0.49350491E+00,  0.98331324E+01
  0.42500000E-01,  0.49310044E+00,  0.98224940E+01
  0.45000000E-01,  0.49269632E+00,  0.98118048E+01
  0.47500000E-01,  0.49229223E+00,  0.98011130E+01
  0.50000000E-01,  0.49188849E+00,  0.97903701E+01
  0.52500000E-01,  0.49148478E+00,  0.97796244E+01
  0.55000000E-01,  0.49108144E+00,  0.97688275E+01
  0.57500000E-01,  0.49067813E+00,  0.97580274E+01
  0.60000000E-01,  0.49027518E+00,  0.97471760E+01
  0.62500000E-01,  0.48987227E+00,  0.97363211E+01
  0.65000000E-01,  0.48946972E+00,  0.97254147E+01
  0.67500000E-01,  0.48906722E+00,  0.97145046E+01
  0.70000000E-01,  0.48866508E+00,  0.97035429E+01
  0.72500000E-01,  0.48826298E+00,  0.96925771E+01
  0.75000000E-01,  0.48786126E+00,  0.96815595E+01
  0.77500000E-01,  0.48745958E+00,  0.96705375E+01
  0.80000000E-01,  0.48705828E+00,  0.96594636E+01
  0.82500000E-01,  0.48665703E+00,  0.96483850E+01
  0.85000000E-01,  0.48625615E+00,  0.96372543E+01
  0.87500000E-01,  0.48585533E+00,  0.96261186E+01
  0.90000000E-01,  0.48545489E+00,  0.96149306E+01
  0.92500000E-01,  0.48505450E+00,  0.96037373E+01
  0.95000000E-01,  0.48465450E+00,  0.95924916E+01
  0.97500000E-01,  0.48425456E+00,  0.95812403E+01
  0.10000000E+00,  0.48385500E+00,  0.95699364E+01
  0.10250000E+00,  0.48345551E+00,  0.95586264E+01
  0.10500000E+00,  0.48305641E+00,  0.95472638E+01
  0.10750000E+00,  0.48265738E+00,  0.95358948E+01
  0.11000000E+00,  0.48225874E+00,  0.95244730E+01
  0.11250000E+00,  0.48186017E+00,  0.95130444E+01
  0.11500000E+00,  0.48146200E+00,  0.95015628E+01
  0.11750000E+00,  0.48106390E+00,  0.94900742E+01
  0.12000000E+00,  0.48066620E+00,  0.94785324E+01
  0.12250000E+00,  0.48026859E+00,  0.94669832E+01
  0.12500000E+00,  0.47987137E+00,  0.94553807E+01
  0.12750000E+00,  0.47947424E+00,  0.94437704E+01
  0.13000000E+00,  0.47907751E+00,  0.94321065E+01
  0.13250000E+00,  0.47868088E+00,  0.94204346E+01
  0.13500000E+00,  0.47828465E+00,  0.94087090E+01
  0.13750000E+00,  0.47788852E+00,  0.93969749E+01
  0.14000000E+00,  0.47749280E+00,  0.93851869E+01
  0.14250000E+00,  0.47709717E+00,  0.93733901E+01
  0.14500000E+00,  0.47670196E+00,  0.93615392E+01
  0.14750000E+00,  0.47630686E+00,  0.93496792E+01
  0.15000000E+00,  0.47591217E+00,  0.93377649E+01
  0.15250000E+00,  0.47551760E+00,  0.93258411E+01
  0.15500000E+00,  0.47512344E+00,  0.93138627E+01
  0.15750000E+00,  0.47472940E+00,  0.93018745E+01
  0.16000000E+00,  0.47433578E+00,  0.92898316E+01
  0.16250000E+00,  0.47394228E+00,  0.92777785E+01
  0.16500000E+00,  0.47354922E+00,  0.92656705E+01
  0.16750000E+00,  0.47315627E+00,  0.92535519E+01
  0.17000000E+00,  0.47276376E+00,  0.92413781E+01
  0.17250000E+00,  0.47237137E+00,  0.92291934E+01
  0.17500000E+00,  0.47197943E+00,  0.92169533E+01
  0.17750000E+00,  0.47158762E+00,  0.92047019E+01
  0.18000000E+00,  0.47119624E+00,  0.91923950E+01
  0.18250000E+00,  0.47080501E+00,  0.91800763E+01
  0.18500000E+00,  0.47041423E+00,  0.91677019E+01
  0.18750000E+00,  0.47002358E+00,  0.91553153E+01
  0.19000000E+00,  0.46963339E+00,  0.91428727E+01
  0.19250000E+00,  0.46924335E+00,  0.91304177E+01
  0.19500000E+00,  0.46885376E+00,  0.91179064E+01
  0.19750000E+00,  0.46846433E+00,  0.91053822E+01
  0.20000000E+00,  0.46807536E+00,  0.90928015E+01
  0.20250000E+00,  0.46768654E+00,  0.90802076E+01
  0.20500000E+00,  0.46729819E+00,  0.90675570E+01
  0.20750000E+00,  0.46691001E+00,  0.90548926E+01
  0.21000000E+00,  0.46652230E+00,  0.90421714E+01
  0.21250000E+00,  0.46613476E+00,  0.90294360E+01
  0.21500000E+00,  0.46574769E+00,  0.90166434E+01
  0.21750000E+00,  0.46536080E+00,  0.90038364E+01
  0.22000000E+00,  0.46497439E+00,  0.89909719E+01
  0.22250000E+00,  0.46458817E+00,  0.89780925E+01
  0.22500000E+00,  0.46420243E+00,  0.89651553E+01
  0.22750000E+00,  0.46381688E+00,  0.89522029E+01
  0.23000000E+00,  0.46343182E+00,  0.89391925E+01
  0.23250000E+00,  0.46304695E+00,  0.89261663E+01
  0.23500000E+00,  0.46266258E+00,  0.89130819E+01
  0.23750000E+00,  0.46227842E+00,  0.88999814E+01
  0.24000000E+00,  0.46189475E+00,  0.88868223E+01
  0.24250000E+00,  0.46151130E+00,  0.88736466E+01
  0.24500000E+00,  0.46112835E+00,  0.88604122E+01
  0.24750000E+00,  0.46074562E+00,  0.88471606E+01
  0.25000000E+00,  0.46036340E+00,  0.88338501E+01
  0.25250000E+00,  0.45998140E+00,  0.88205221E+01
  0.25500000E+00,  0.45959992E+00,  0.88071347E+01
  0.25750000E+00,  0.45921868E+00,  0.87937294E+01
  0.26000000E+00,  0.45883795E+00,  0.87802644E+01
  0.26250000E+00,  0.45845747E+00,  0.87667811E+01
  0.26500000E+00,  0.45807751E+00,  0.87532379E+01
  0.26750000E+00,  0.45769781E+00,  0.87396757E+01
  0.27000000E+00,  0.45731863E+00,  0.87260534E+01
  0.27250000E+00,  0.45693972E+00,  0.87124118E+01
  0.27500000E+00,  0.45656134E+00,  0.86987097E+01
  0.27750000E+00,  0.45618323E+00,  0.86849877E+01
  0.28000000E+00,  0.45580566E+00,  0.86712050E+01
  0.28250000E+00,  0.45542837E+00,  0.86574019E+01
  0.28500000E+00,  0.45505163E+00,  0.86435378E+01
  0.28750000E+00,  0.45467517E+00,  0.86296529E+01
  0.29000000E+00,  0.45429927E+00,  0.86157065E+01
  0.29250000E+00,  0.45392366E+00,  0.86017389E+01
  0.29500000E+00,  0.45354862E+00,  0.85877095E+01
  0.29750000E+00,  0.45317387E+00,  0.85736584E+01
  0.30000000E+00,  0.45279970E+00,  0.85595452E+01
  0.30250000E+00,  0.45242584E+00,  0.85454097E+01
  0.30500000E+00,  0.45205256E+00,  0.85312118E+01
  0.30750000E+00,  0.45167959E+00,  0.85169912E+01
  0.31000000E+00,  0.45130721E+00,  0.85027078E+01
  0.31250000E+00,  0.45093516E+00,  0.84884011E+01
  0.31500000E+00,  0.45056371E+00,  0.84740313E+01
  0.31750000E+00,  0.45019259E+00,  0.84596376E+01
  0.32000000E+00,  0.44982208E+00,  0.84451806E+01
  0.32250000E+00,  0.44945191E+00,  0.84306992E+01
  0.32500000E+00,  0.44908235E+00,  0.84161540E+01
  0.32750000E+00,  0.44871315E+00,  0.84015839E+01
  0.33000000E+00,  0.44834458E+00,  0.83869496E+01
  0.33250000E+00,  0.44797636E+00,  0.83722899E+01
  0.33500000E+00,  0.44760878E+00,  0.83575657E+01
  0.33750000E+00,  0.44724157E+00,  0.83428155E+01
  0.34000000E+00,  0.44687500E+00,  0.83280003E+01
  0.34250000E+00,  0.44650882E+00,  0.83131587E+01
  0.34500000E+00,  0.44614329E+00,  0.82982517E+01
  0.34750000E+00,  0.44577815E+00,  0.82833176E+01
  0.35000000E+00,  0.44541367E+00,  0.82683178E+01
  0.35250000E+00,  0.44504960E+00,  0.82532904E+01
  0.35500000E+00,  0.44468620E+00,  0.82381969E+01
  0.35750000E+00,  0.44432322E+00,  0.82230751E+01
  0.36000000E+00,  0.44396092E+00,  0.82078868E+01
  0.36250000E+00,  0.44359904E+00,  0.81926697E+01
  0.36500000E+00,  0.44323786E+00,  0.81773856E+01
  0.36750000E+00,  0.44287712E+00,  0.81620721E+01
  0.37000000E+00,  0.44251708E+00,  0.81466913E+01
  0.37250000E+00,  0.44215749E+00,  0.81312804E+01
  0.37500000E+00,  0.44179861E+00,  0.81158017E+01
  0.37750000E+00,  0.44144021E+00,  0.81002925E+01
  0.38000000E+00,  0.44108252E+00,  0.80847149E+01
  0.38250000E+00,  0.44072531E+00,  0.80691062E+01
  0.38500000E+00,  0.44036884E+00,  0.80534287E+01
  0.38750000E+00,  0.44001286E+00,  0.80377194E+01
  0.39000000E+00,  0.43965763E+00,  0.80219409E+01
  0.39250000E+00,  0.43930290E+00,  0.80061299E+01
  0.39500000E+00,  0.43894893E+00,  0.79902493E+01
  0.39750000E+00,  0.43859549E+00,  0.79743355E+01
  0.40000000E+00,  0.43824281E+00,  0.79583516E+01
  0.40250000E+00,  0.43789067E+00,  0.79423340E+01
  0.40500000E+00,  0.43753931E+00,  0.79262457E+01
  0.40750000E+00,  0.43718850E+00,  0.79101230E+01
  0.41000000E+00,  0.43683849E+00,  0.78939292E+01
  0.41250000E+00,  0.43648904E+00,  0.78777003E+01
  0.41500000E+00,  0.43614041E+00,  0.78613998E+01
  0.41750000E+00,  0.43579235E+00,  0.78450634E+01
  0.42000000E+00,  0.43544512E+00,  0.78286550E+01
  0.42250000E+00,  0.43509849E+00,  0.78122100E+01
  0.42500000E+00,  0.43475269E+00,  0.77956924E+01
  0.42750000E+00,  0.43440752E+00,  0.77791376E+01
  0.43000000E+00,  0.43406319E+00,  0.77625097E+01
  0.43250000E+00,  0.43371949E+00,  0.77458438E+01
  0.43500000E+00,  0.43337666E+00,  0.77291042E+01
  0.43750000E+00,  0.43303449E+00,  0.77123259E+01
  0.44000000E+00,  0.43269319E+00,  0.76954734E+01
  0.44250000E+00,  0.43235257E+00,  0.76785814E+01
  0.44500000E+00,  0.43201283E+00,  0.76616147E+01
  0.44750000E+00,  0.43167380E+00,  0.76446078E+01
  0.45000000E+00,  0.43133567E+00,  0.76275254E+01
  0.45250000E+00,  0.43099825E+00,  0.76104022E+01
  0.45500000E+00,  0.43066176E+00,  0.75932030E+01
  0.45750000E+00,  0.43032600E+00,  0.75759621E+01
  0.46000000E+00,  0.42999119E+00,  0.75586446E+01
  0.46250000E+00,  0.42965713E+00,  0.75412846E+01
  0.46500000E+00,  0.42932403E+00,  0.75238474E+01
  0.46750000E+00,  0.42899171E+00,  0.75063669E+01
  0.47000000E+00,  0.42866036E+00,  0.74888086E+01
  0.47250000E+00,  0.42832981E+00,  0.74712063E+01
  0.47500000E+00,  0.42800027E+00,  0.74535254E+01
  0.47750000E+00,  0.42767154E+00,  0.74357996E+01
  0.48000000E+00,  0.42734383E+00,  0.74179947E+01
  0.48250000E+00,  0.42701696E+00,  0.74001441E+01
  0.48500000E+00,  0.42669113E+00,  0.73822137E+01
  0.48750000E+00,  0.42636616E+00,  0.73642366E+01
  0.49000000E+00,  0.42604226E+00,  0.73461791E+01
  0.49250000E+00,  0.42571925E+00,  0.73280741E+01
  0.49500000E+00,  0.42539732E+00,  0.73098880E+01
  0.49750000E+00,  0.42507630E+00,  0.72916535E+01
  0.50000000E+00,  0.42475639E+00,  0.72733371E+01
  0.50250000E+00,  0.42443742E+00,  0.72549715E+01
  0.50500000E+00,  0.42411959E+00,  0.72365233E+01
  0.50750000E+00,  0.42380272E+00,  0.72180249E+01
  0.51000000E+00,  0.42348700E+00,  0.71994431E+01
  0.51250000E+00,  0.42317228E+00,  0.71808103E+01
  0.51500000E+00,  0.42285874E+00,  0.71620934E+01
  0.51750000E+00,  0.42254622E+00,  0.71433245E+01
  0.52000000E+00,  0.42223491E+00,  0.71244706E+01
  0.52250000E+00,  0.42192465E+00,  0.71055638E+01
  0.52500000E+00,  0.42161562E+00,  0.70865713E+01
  0.52750000E+00,  0.42130768E+00,  0.70675249E+01
  0.53000000E+00,  0.42100099E+00,  0.70483919E+01
  0.53250000E+00,  0.42069542E+00,  0.70292040E+01
  0.53500000E+00,  0.42039115E+00,  0.70099288E+01
  0.53750000E+00,  0.42008801E+00,  0.69905977E+01
  0.54000000E+00,  0.41978620E+00,  0.69711783E+01
  0.54250000E+00,  0.41948557E+00,  0.69517020E+01
  0.54500000E+00,  0.41918629E+00,  0.69321366E+01
  0.54750000E+00,  0.41888823E+00,  0.69125132E+01
  0.55000000E+00,  0.41859155E+00,  0.68927999E+01
  0.55250000E+00,  0.41829612E+00,  0.68730275E+01
  0.55500000E+00,  0.41800210E+00,  0.68531642E+01
  0.55750000E+00,  0.41770938E+00,  0.68332407E+01
  0.56000000E+00,  0.41741811E+00,  0.68132255E+01
  0.56250000E+00,  0.41712816E+00,  0.67931490E+01
  0.56500000E+00,  0.41683970E+00,  0.67729797E+01
  0.56750000E+00,  0.41655261E+00,  0.67527480E+01
  0.57000000E+00,  0.41626705E+00,  0.67324227E+01
  0.57250000E+00,  0.41598289E+00,  0.67120337E+01
  0.57500000E+00,  0.41570029E+00,  0.66915501E+01
  0.57750000E+00,  0.41541915E+00,  0.66710016E+01
  0.58000000E+00,  0.41513961E+00,  0.66503575E+01
  0.58250000E+00,  0.41486157E+00,  0.66296474E+01
  0.58500000E+00,  0.41458517E+00,  0.66088406E+01
  0.58750000E+00,  0.41431031E+00,  0.65879665E+01
  0.59000000E+00,  0.41403715E+00,  0.65669947E+01
  0.59250000E+00,  0.41376557E+00,  0.65459544E+01
  0.59500000E+00,  0.41349573E+00,  0.65248152E+01
  0.59750000E+00,  0.41322753E+00,  0.65036062E+01
  0.60000000E+00,  0.41296110E+00,  0.64822973E+01
  0.60250000E+00,  0.41269637E+00,  0.64609172E+01
  0.60500000E+00,  0.41243347E+00,  0.64394361E+01
  0.60750000E+00,  0.41217232E+00,  0.64178824E+01
  0.61000000E+00,  0.41191304E+00,  0.63962266E+01
  0.61250000E+00,  0.41165557E+00,  0.63744968E+01
  0.61500000E+00,  0.41140003E+00,  0.63526637E+01
  0.61750000E+00,  0.41114635E+00,  0.63307552E+01
  0.62000000E+00,  0.41089466E+00,  0.63087421E+01
  0.62250000E+00,  0.41064489E+00,  0.62866523E+01
  0.62500000E+00,  0.41039717E+00,  0.62644566E+01
  0.62750000E+00,  0.41015143E+00,  0.62421827E+01
  0.63000000E+00,  0.40990779E+00,  0.62198016E+01
  0.63250000E+00,  0.40966621E+00,  0.61973408E+01
  0.63500000E+00,  0.40942679E+00,  0.61747715E+01
  0.63750000E+00,  0.40918950E+00,  0.61521209E+01
  0.64000000E+00,  0.40895443E+00,  0.61293605E+01
  0.64250000E+00,  0.40872155E+00,  0.61065173E+01
  0.64500000E+00,  0.40849098E+00,  0.60835627E+01
  0.64750000E+00,  0.40826267E+00,  0.60605238E+01
  0.65000000E+00,  0.40803673E+00,  0.60373721E+01
  0.65250000E+00,  0.40781314E+00,  0.60141344E+01
  0.65500000E+00,  0.40759199E+00,  0.59907825E+01
  0.65750000E+00,  0.40737326E+00,  0.59673428E+01
  0.66000000E+00,  0.40715706E+00,  0.59437874E+01
  0.66250000E+00,  0.40694337E+00,  0.59201425E+01
  0.66500000E+00,  0.40673228E+00,  0.58963804E+01
  0.66750000E+00,  0.40652379E+00,  0.58725269E+01
  0.67000000E+00,  0.40631799E+00,  0.58485547E+01
  0.67250000E+00,  0.40611489E+00,  0.58244893E+01
  0.67500000E+00,  0.40591456E+00,  0.58003034E+01
  0.67750000E+00,  0.40571702E+00,  0.57760225E+01
